Record_ID,Data_Load_Date,Age,Age_Group,Sex,Job,Job_Category,Housing,Saving accounts,Checking account,Credit amount,Credit_Tier,Duration,Duration_Category,Purpose,Estimated_Monthly_Payment,Credit_Per_Age,Risk,Risk_Score,Exposure_Level,High_Amount_Flag,Long_Duration_Flag,Young_Applicant_Flag
150,2026-01-06,46,Middle-Aged (36-50),male,2,Skilled,own,rich,Unknown,1582,Small (<2K),18,Medium (1-2yr),radio/TV,87.89,34.39,good,1,Medium Exposure,0,0,0
151,2026-01-06,42,Middle-Aged (36-50),male,2,Skilled,free,moderate,Unknown,1346,Small (<2K),6,Short (<1yr),radio/TV,224.33,32.05,good,1,Low Exposure,0,0,0
152,2026-01-06,38,Middle-Aged (36-50),male,2,Skilled,own,little,Unknown,1924,Small (<2K),10,Short (<1yr),radio/TV,192.4,50.63,good,1,Low Exposure,0,0,0
153,2026-01-06,24,Young (18-25),male,2,Skilled,own,little,rich,5848,Large (5K-10K),36,Long (2-3yr),radio/TV,162.44,243.67,good,1,High Exposure,1,1,1
154,2026-01-06,29,Adult (26-35),female,2,Skilled,rent,rich,moderate,7758,Large (5K-10K),24,Medium (1-2yr),car,323.25,267.52,good,1,Medium Exposure,1,0,1
155,2026-01-06,36,Middle-Aged (36-50),male,3,Highly Skilled,rent,moderate,moderate,6967,Large (5K-10K),24,Medium (1-2yr),business,290.29,193.53,good,1,Medium Exposure,1,0,0
156,2026-01-06,20,Young (18-25),female,2,Skilled,rent,little,little,1282,Small (<2K),12,Short (<1yr),furniture/equipment,106.83,64.1,bad,0,Medium Exposure,0,0,1
157,2026-01-06,48,Middle-Aged (36-50),male,2,Skilled,own,moderate,little,1288,Small (<2K),9,Short (<1yr),repairs,143.11,26.83,good,1,Low Exposure,0,0,0
158,2026-01-06,45,Middle-Aged (36-50),male,1,Semi-Skilled,own,little,little,339,Small (<2K),12,Short (<1yr),education,28.25,7.53,good,1,Medium Exposure,0,0,0
159,2026-01-06,38,Middle-Aged (36-50),male,2,Skilled,own,moderate,moderate,3512,Medium (2K-5K),24,Medium (1-2yr),car,146.33,92.42,good,1,Medium Exposure,1,0,0
160,2026-01-06,34,Adult (26-35),male,1,Semi-Skilled,own,Unknown,Unknown,1898,Small (<2K),6,Short (<1yr),radio/TV,316.33,55.82,good,1,Low Exposure,0,0,0
161,2026-01-06,36,Middle-Aged (36-50),male,2,Skilled,own,moderate,Unknown,2872,Medium (2K-5K),24,Medium (1-2yr),radio/TV,119.67,79.78,good,1,Medium Exposure,1,0,0
162,2026-01-06,30,Adult (26-35),female,2,Skilled,own,little,Unknown,1055,Small (<2K),18,Medium (1-2yr),car,58.61,35.17,good,1,Medium Exposure,0,0,0
163,2026-01-06,36,Middle-Aged (36-50),male,2,Skilled,own,quite rich,Unknown,1262,Small (<2K),15,Medium (1-2yr),domestic appliances,84.13,35.06,good,1,Medium Exposure,0,0,0
164,2026-01-06,70,Senior (51+),male,3,Highly Skilled,free,little,moderate,7308,Large (5K-10K),10,Short (<1yr),car,730.8,104.4,good,1,Medium Exposure,1,0,0
165,2026-01-06,36,Middle-Aged (36-50),male,2,Skilled,own,quite rich,Unknown,909,Small (<2K),36,Long (2-3yr),car,25.25,25.25,good,1,Medium Exposure,0,1,0
166,2026-01-06,32,Adult (26-35),male,2,Skilled,own,quite rich,Unknown,2978,Medium (2K-5K),6,Short (<1yr),furniture/equipment,496.33,93.06,good,1,Medium Exposure,1,0,0
167,2026-01-06,33,Adult (26-35),female,2,Skilled,own,little,little,1131,Small (<2K),18,Medium (1-2yr),furniture/equipment,62.83,34.27,bad,0,Medium Exposure,0,0,0
168,2026-01-06,20,Young (18-25),female,2,Skilled,own,rich,moderate,1577,Small (<2K),11,Short (<1yr),furniture/equipment,143.36,78.85,good,1,Low Exposure,0,0,1
169,2026-01-06,25,Young (18-25),female,2,Skilled,rent,little,Unknown,3972,Medium (2K-5K),24,Medium (1-2yr),furniture/equipment,165.5,158.88,good,1,Medium Exposure,1,0,1
170,2026-01-06,31,Adult (26-35),male,2,Skilled,own,little,moderate,1935,Small (<2K),24,Medium (1-2yr),business,80.62,62.42,bad,0,Medium Exposure,0,0,0
171,2026-01-06,33,Adult (26-35),male,2,Skilled,rent,little,little,950,Small (<2K),15,Medium (1-2yr),car,63.33,28.79,bad,0,Medium Exposure,0,0,0
172,2026-01-06,26,Adult (26-35),female,2,Skilled,own,little,Unknown,763,Small (<2K),12,Short (<1yr),furniture/equipment,63.58,29.35,good,1,Medium Exposure,0,0,1
173,2026-01-06,34,Adult (26-35),female,3,Highly Skilled,own,little,moderate,2064,Medium (2K-5K),24,Medium (1-2yr),furniture/equipment,86.0,60.71,bad,0,Medium Exposure,0,0,0
174,2026-01-06,33,Adult (26-35),male,2,Skilled,own,little,moderate,1414,Small (<2K),8,Short (<1yr),radio/TV,176.75,42.85,good,1,Low Exposure,0,0,0
175,2026-01-06,26,Adult (26-35),male,2,Skilled,own,little,little,3414,Medium (2K-5K),21,Medium (1-2yr),education,162.57,131.31,bad,0,Medium Exposure,1,0,1
176,2026-01-06,53,Senior (51+),female,3,Highly Skilled,own,Unknown,Unknown,7485,Large (5K-10K),30,Long (2-3yr),car,249.5,141.23,bad,0,High Exposure,1,1,0
177,2026-01-06,42,Middle-Aged (36-50),male,2,Skilled,own,little,little,2577,Medium (2K-5K),12,Short (<1yr),furniture/equipment,214.75,61.36,good,1,Medium Exposure,1,0,0
178,2026-01-06,52,Senior (51+),male,2,Skilled,own,quite rich,little,338,Small (<2K),6,Short (<1yr),radio/TV,56.33,6.5,good,1,Low Exposure,0,0,0
179,2026-01-06,31,Adult (26-35),male,3,Highly Skilled,rent,little,Unknown,1963,Small (<2K),12,Short (<1yr),radio/TV,163.58,63.32,good,1,Medium Exposure,0,0,0
180,2026-01-06,65,Senior (51+),male,2,Skilled,own,little,little,571,Small (<2K),21,Medium (1-2yr),car,27.19,8.78,good,1,Medium Exposure,0,0,0
181,2026-01-06,28,Adult (26-35),male,2,Skilled,own,little,Unknown,9572,Large (5K-10K),36,Long (2-3yr),business,265.89,341.86,bad,0,High Exposure,1,1,1
182,2026-01-06,30,Adult (26-35),male,3,Highly Skilled,own,little,moderate,4455,Medium (2K-5K),36,Long (2-3yr),business,123.75,148.5,bad,0,Medium Exposure,1,1,0
183,2026-01-06,40,Middle-Aged (36-50),male,1,Semi-Skilled,own,Unknown,little,1647,Small (<2K),21,Medium (1-2yr),car,78.43,41.18,bad,0,Medium Exposure,0,0,0
184,2026-01-06,50,Middle-Aged (36-50),male,2,Skilled,own,rich,Unknown,3777,Medium (2K-5K),24,Medium (1-2yr),furniture/equipment,157.38,75.54,good,1,Medium Exposure,1,0,0
185,2026-01-06,36,Middle-Aged (36-50),male,2,Skilled,own,little,moderate,884,Small (<2K),18,Medium (1-2yr),car,49.11,24.56,bad,0,Medium Exposure,0,0,0
186,2026-01-06,31,Adult (26-35),male,2,Skilled,own,little,Unknown,1360,Small (<2K),15,Medium (1-2yr),radio/TV,90.67,43.87,good,1,Medium Exposure,0,0,0
187,2026-01-06,74,Senior (51+),female,3,Highly Skilled,free,little,moderate,5129,Large (5K-10K),9,Short (<1yr),car,569.89,69.31,bad,0,Medium Exposure,1,0,0
188,2026-01-06,68,Senior (51+),male,0,Unskilled,free,little,moderate,1175,Small (<2K),16,Medium (1-2yr),car,73.44,17.28,good,1,Medium Exposure,0,0,0
189,2026-01-06,20,Young (18-25),male,2,Skilled,own,moderate,little,674,Small (<2K),12,Short (<1yr),radio/TV,56.17,33.7,bad,0,Medium Exposure,0,0,1
190,2026-01-06,33,Adult (26-35),female,2,Skilled,own,little,moderate,3244,Medium (2K-5K),18,Medium (1-2yr),furniture/equipment,180.22,98.3,good,1,Medium Exposure,1,0,0
191,2026-01-06,54,Senior (51+),male,3,Highly Skilled,own,rich,Unknown,4591,Medium (2K-5K),24,Medium (1-2yr),business,191.29,85.02,bad,0,Medium Exposure,1,0,0
192,2026-01-06,34,Adult (26-35),male,1,Semi-Skilled,free,moderate,moderate,3844,Medium (2K-5K),48,Very Long (3yr+),business,80.08,113.06,bad,0,Medium Exposure,1,1,0
193,2026-01-06,36,Middle-Aged (36-50),male,2,Skilled,own,little,moderate,3915,Medium (2K-5K),27,Long (2-3yr),business,145.0,108.75,bad,0,Medium Exposure,1,1,0
194,2026-01-06,29,Adult (26-35),male,2,Skilled,rent,little,Unknown,2108,Medium (2K-5K),6,Short (<1yr),radio/TV,351.33,72.69,good,1,Medium Exposure,0,0,1
195,2026-01-06,21,Young (18-25),male,2,Skilled,rent,moderate,moderate,3031,Medium (2K-5K),45,Very Long (3yr+),radio/TV,67.36,144.33,bad,0,Medium Exposure,1,1,1
196,2026-01-06,34,Adult (26-35),female,3,Highly Skilled,own,little,moderate,1501,Small (<2K),9,Short (<1yr),education,166.78,44.15,bad,0,Low Exposure,0,0,0
197,2026-01-06,28,Adult (26-35),female,2,Skilled,own,little,Unknown,1382,Small (<2K),6,Short (<1yr),radio/TV,230.33,49.36,good,1,Low Exposure,0,0,1
198,2026-01-06,27,Adult (26-35),female,2,Skilled,rent,moderate,moderate,951,Small (<2K),12,Short (<1yr),furniture/equipment,79.25,35.22,bad,0,Medium Exposure,0,0,1
199,2026-01-06,36,Middle-Aged (36-50),male,2,Skilled,free,Unknown,moderate,2760,Medium (2K-5K),24,Medium (1-2yr),car,115.0,76.67,good,1,Medium Exposure,1,0,0
200,2026-01-06,40,Middle-Aged (36-50),male,3,Highly Skilled,own,little,moderate,4297,Medium (2K-5K),18,Medium (1-2yr),furniture/equipment,238.72,107.42,bad,0,Medium Exposure,1,0,0
201,2026-01-06,52,Senior (51+),male,2,Skilled,own,quite rich,Unknown,936,Small (<2K),9,Short (<1yr),education,104.0,18.0,good,1,Low Exposure,0,0,0
202,2026-01-06,27,Adult (26-35),male,1,Semi-Skilled,own,little,little,1168,Small (<2K),12,Short (<1yr),car,97.33,43.26,good,1,Medium Exposure,0,0,1
203,2026-01-06,26,Adult (26-35),male,2,Skilled,own,little,Unknown,5117,Large (5K-10K),27,Long (2-3yr),business,189.52,196.81,good,1,High Exposure,1,1,1
204,2026-01-06,21,Young (18-25),male,2,Skilled,rent,little,little,902,Small (<2K),12,Short (<1yr),education,75.17,42.95,bad,0,Medium Exposure,0,0,1
205,2026-01-06,38,Middle-Aged (36-50),male,1,Semi-Skilled,own,little,Unknown,1495,Small (<2K),12,Short (<1yr),car,124.58,39.34,good,1,Medium Exposure,0,0,0
206,2026-01-06,38,Middle-Aged (36-50),male,3,Highly Skilled,free,little,little,10623,Very Large (10K+),30,Long (2-3yr),car,354.1,279.55,good,1,High Exposure,1,1,0
207,2026-01-06,43,Middle-Aged (36-50),male,2,Skilled,own,little,Unknown,1935,Small (<2K),12,Short (<1yr),furniture/equipment,161.25,45.0,good,1,Medium Exposure,0,0,0
208,2026-01-06,26,Adult (26-35),male,2,Skilled,own,little,moderate,1424,Small (<2K),12,Short (<1yr),domestic appliances,118.67,54.77,good,1,Medium Exposure,0,0,1
209,2026-01-06,21,Young (18-25),male,1,Semi-Skilled,own,little,little,6568,Large (5K-10K),24,Medium (1-2yr),business,273.67,312.76,good,1,Medium Exposure,1,0,1
210,2026-01-06,55,Senior (51+),male,2,Skilled,own,rich,Unknown,1413,Small (<2K),12,Short (<1yr),car,117.75,25.69,good,1,Medium Exposure,0,0,0
211,2026-01-06,33,Adult (26-35),male,2,Skilled,own,Unknown,Unknown,3074,Medium (2K-5K),9,Short (<1yr),radio/TV,341.56,93.15,good,1,Medium Exposure,1,0,0
212,2026-01-06,45,Middle-Aged (36-50),female,1,Semi-Skilled,own,Unknown,Unknown,3835,Medium (2K-5K),36,Long (2-3yr),radio/TV,106.53,85.22,good,1,Medium Exposure,1,1,0
213,2026-01-06,50,Middle-Aged (36-50),male,2,Skilled,own,little,little,5293,Large (5K-10K),27,Long (2-3yr),business,196.04,105.86,bad,0,High Exposure,1,1,0
214,2026-01-06,66,Senior (51+),male,3,Highly Skilled,own,little,rich,1908,Small (<2K),30,Long (2-3yr),business,63.6,28.91,bad,0,Medium Exposure,0,1,0
215,2026-01-06,51,Senior (51+),male,2,Skilled,own,Unknown,Unknown,3342,Medium (2K-5K),36,Long (2-3yr),radio/TV,92.83,65.53,good,1,Medium Exposure,1,1,0
216,2026-01-06,39,Middle-Aged (36-50),female,1,Semi-Skilled,own,Unknown,moderate,932,Small (<2K),6,Short (<1yr),education,155.33,23.9,good,1,Low Exposure,0,0,0
217,2026-01-06,31,Adult (26-35),male,2,Skilled,own,little,little,3104,Medium (2K-5K),18,Medium (1-2yr),business,172.44,100.13,good,1,Medium Exposure,1,0,0
218,2026-01-06,23,Young (18-25),male,2,Skilled,own,little,rich,3913,Medium (2K-5K),36,Long (2-3yr),radio/TV,108.69,170.13,good,1,Medium Exposure,1,1,1
219,2026-01-06,24,Young (18-25),male,1,Semi-Skilled,rent,little,little,3021,Medium (2K-5K),24,Medium (1-2yr),furniture/equipment,125.88,125.88,good,1,Medium Exposure,1,0,1
220,2026-01-06,64,Senior (51+),female,2,Skilled,own,little,Unknown,1364,Small (<2K),10,Short (<1yr),car,136.4,21.31,good,1,Low Exposure,0,0,0
221,2026-01-06,26,Adult (26-35),male,1,Semi-Skilled,own,little,moderate,625,Small (<2K),12,Short (<1yr),radio/TV,52.08,24.04,good,1,Medium Exposure,0,0,1
222,2026-01-06,23,Young (18-25),female,2,Skilled,rent,Unknown,little,1200,Small (<2K),12,Short (<1yr),education,100.0,52.17,good,1,Medium Exposure,0,0,1
223,2026-01-06,30,Adult (26-35),male,2,Skilled,own,little,Unknown,707,Small (<2K),12,Short (<1yr),radio/TV,58.92,23.57,good,1,Medium Exposure,0,0,0
224,2026-01-06,32,Adult (26-35),male,2,Skilled,own,Unknown,Unknown,2978,Medium (2K-5K),24,Medium (1-2yr),business,124.08,93.06,good,1,Medium Exposure,1,0,0
225,2026-01-06,30,Adult (26-35),male,2,Skilled,own,little,Unknown,4657,Medium (2K-5K),15,Medium (1-2yr),car,310.47,155.23,good,1,Medium Exposure,1,0,0
226,2026-01-06,27,Adult (26-35),male,2,Skilled,own,little,Unknown,2613,Medium (2K-5K),36,Long (2-3yr),repairs,72.58,96.78,good,1,Medium Exposure,1,1,1
227,2026-01-06,27,Adult (26-35),male,2,Skilled,own,rich,moderate,10961,Very Large (10K+),48,Very Long (3yr+),radio/TV,228.35,405.96,bad,0,High Exposure,1,1,1
228,2026-01-06,53,Senior (51+),male,3,Highly Skilled,free,little,little,7865,Large (5K-10K),12,Short (<1yr),furniture/equipment,655.42,148.4,bad,0,Medium Exposure,1,0,0
229,2026-01-06,22,Young (18-25),male,2,Skilled,own,little,Unknown,1478,Small (<2K),9,Short (<1yr),radio/TV,164.22,67.18,bad,0,Low Exposure,0,0,1
230,2026-01-06,22,Young (18-25),male,2,Skilled,free,little,little,3149,Medium (2K-5K),24,Medium (1-2yr),furniture/equipment,131.21,143.14,good,1,Medium Exposure,1,0,1
231,2026-01-06,26,Adult (26-35),male,2,Skilled,own,little,rich,4210,Medium (2K-5K),36,Long (2-3yr),radio/TV,116.94,161.92,bad,0,Medium Exposure,1,1,1
232,2026-01-06,51,Senior (51+),male,1,Semi-Skilled,free,quite rich,Unknown,2507,Medium (2K-5K),9,Short (<1yr),car,278.56,49.16,good,1,Medium Exposure,1,0,0
233,2026-01-06,35,Adult (26-35),male,2,Skilled,own,moderate,Unknown,2141,Medium (2K-5K),12,Short (<1yr),radio/TV,178.42,61.17,good,1,Medium Exposure,0,0,0
234,2026-01-06,25,Young (18-25),male,1,Semi-Skilled,own,little,moderate,866,Small (<2K),18,Medium (1-2yr),radio/TV,48.11,34.64,good,1,Medium Exposure,0,0,1
235,2026-01-06,42,Middle-Aged (36-50),male,1,Semi-Skilled,own,little,Unknown,1544,Small (<2K),4,Short (<1yr),radio/TV,386.0,36.76,good,1,Low Exposure,0,0,0
236,2026-01-06,30,Adult (26-35),male,3,Highly Skilled,own,little,little,1823,Small (<2K),24,Medium (1-2yr),radio/TV,75.96,60.77,bad,0,Medium Exposure,0,0,0
237,2026-01-06,23,Young (18-25),male,0,Unskilled,own,Unknown,moderate,14555,Very Large (10K+),6,Short (<1yr),car,2425.83,632.83,bad,0,Medium Exposure,1,0,1
238,2026-01-06,61,Senior (51+),male,1,Semi-Skilled,rent,moderate,moderate,2767,Medium (2K-5K),21,Medium (1-2yr),business,131.76,45.36,bad,0,Medium Exposure,1,0,0
239,2026-01-06,35,Adult (26-35),female,2,Skilled,own,little,Unknown,1291,Small (<2K),12,Short (<1yr),radio/TV,107.58,36.89,good,1,Medium Exposure,0,0,0
240,2026-01-06,39,Middle-Aged (36-50),male,2,Skilled,own,little,little,2522,Medium (2K-5K),30,Long (2-3yr),radio/TV,84.07,64.67,good,1,Medium Exposure,1,1,0
241,2026-01-06,29,Adult (26-35),female,2,Skilled,own,Unknown,little,915,Small (<2K),24,Medium (1-2yr),car,38.12,31.55,bad,0,Medium Exposure,0,0,1
242,2026-01-06,51,Senior (51+),male,2,Skilled,own,little,Unknown,1595,Small (<2K),6,Short (<1yr),radio/TV,265.83,31.27,good,1,Low Exposure,0,0,0
243,2026-01-06,24,Young (18-25),male,2,Skilled,free,little,little,4605,Medium (2K-5K),48,Very Long (3yr+),car,95.94,191.88,bad,0,Medium Exposure,1,1,1
244,2026-01-06,27,Adult (26-35),female,2,Skilled,own,little,Unknown,1185,Small (<2K),12,Short (<1yr),business,98.75,43.89,good,1,Medium Exposure,0,0,1
245,2026-01-06,35,Adult (26-35),female,1,Semi-Skilled,own,quite rich,Unknown,3447,Medium (2K-5K),12,Short (<1yr),education,287.25,98.49,good,1,Medium Exposure,1,0,0
246,2026-01-06,25,Young (18-25),male,2,Skilled,own,little,Unknown,1258,Small (<2K),24,Medium (1-2yr),business,52.42,50.32,good,1,Medium Exposure,0,0,1
247,2026-01-06,52,Senior (51+),male,2,Skilled,own,little,Unknown,717,Small (<2K),12,Short (<1yr),radio/TV,59.75,13.79,good,1,Medium Exposure,0,0,0
248,2026-01-06,35,Adult (26-35),male,2,Skilled,rent,moderate,Unknown,1204,Small (<2K),6,Short (<1yr),car,200.67,34.4,good,1,Low Exposure,0,0,0
249,2026-01-06,26,Adult (26-35),male,2,Skilled,own,little,rich,1925,Small (<2K),24,Medium (1-2yr),furniture/equipment,80.21,74.04,good,1,Medium Exposure,0,0,1
250,2026-01-06,22,Young (18-25),female,2,Skilled,rent,little,Unknown,433,Small (<2K),18,Medium (1-2yr),radio/TV,24.06,19.68,bad,0,Medium Exposure,0,0,1
251,2026-01-06,39,Middle-Aged (36-50),female,1,Semi-Skilled,own,rich,little,666,Small (<2K),6,Short (<1yr),car,111.0,17.08,good,1,Low Exposure,0,0,0
252,2026-01-06,46,Middle-Aged (36-50),female,1,Semi-Skilled,own,little,rich,2251,Medium (2K-5K),12,Short (<1yr),furniture/equipment,187.58,48.93,good,1,Medium Exposure,0,0,0
253,2026-01-06,24,Young (18-25),female,2,Skilled,own,little,moderate,2150,Medium (2K-5K),30,Long (2-3yr),car,71.67,89.58,bad,0,Medium Exposure,0,1,1
254,2026-01-06,35,Adult (26-35),male,2,Skilled,own,moderate,Unknown,4151,Medium (2K-5K),24,Medium (1-2yr),furniture/equipment,172.96,118.6,good,1,Medium Exposure,1,0,0
255,2026-01-06,24,Young (18-25),male,2,Skilled,own,Unknown,moderate,2030,Medium (2K-5K),9,Short (<1yr),furniture/equipment,225.56,84.58,good,1,Medium Exposure,0,0,1
256,2026-01-06,27,Adult (26-35),male,1,Semi-Skilled,own,Unknown,moderate,7418,Large (5K-10K),60,Very Long (3yr+),radio/TV,123.63,274.74,good,1,High Exposure,1,1,1
257,2026-01-06,35,Adult (26-35),male,1,Semi-Skilled,own,little,Unknown,2684,Medium (2K-5K),24,Medium (1-2yr),radio/TV,111.83,76.69,good,1,Medium Exposure,1,0,0
258,2026-01-06,29,Adult (26-35),male,2,Skilled,free,little,little,2149,Medium (2K-5K),12,Short (<1yr),radio/TV,179.08,74.1,bad,0,Medium Exposure,0,0,1
259,2026-01-06,23,Young (18-25),female,2,Skilled,own,moderate,Unknown,3812,Medium (2K-5K),15,Medium (1-2yr),car,254.13,165.74,good,1,Medium Exposure,1,0,1
260,2026-01-06,57,Senior (51+),female,1,Semi-Skilled,own,moderate,Unknown,1154,Small (<2K),11,Short (<1yr),radio/TV,104.91,20.25,good,1,Low Exposure,0,0,0
261,2026-01-06,27,Adult (26-35),male,2,Skilled,own,little,little,1657,Small (<2K),12,Short (<1yr),furniture/equipment,138.08,61.37,good,1,Medium Exposure,0,0,1
262,2026-01-06,55,Senior (51+),female,2,Skilled,own,little,little,1603,Small (<2K),24,Medium (1-2yr),radio/TV,66.79,29.15,good,1,Medium Exposure,0,0,0
263,2026-01-06,36,Middle-Aged (36-50),male,3,Highly Skilled,free,little,little,5302,Large (5K-10K),18,Medium (1-2yr),car,294.56,147.28,good,1,Medium Exposure,1,0,0
264,2026-01-06,57,Senior (51+),female,1,Semi-Skilled,free,little,Unknown,2748,Medium (2K-5K),12,Short (<1yr),education,229.0,48.21,good,1,Medium Exposure,1,0,0
265,2026-01-06,32,Adult (26-35),male,1,Semi-Skilled,own,little,Unknown,1231,Small (<2K),10,Short (<1yr),car,123.1,38.47,good,1,Low Exposure,0,0,0
266,2026-01-06,37,Middle-Aged (36-50),male,2,Skilled,own,little,moderate,802,Small (<2K),15,Medium (1-2yr),radio/TV,53.47,21.68,bad,0,Medium Exposure,0,0,0
267,2026-01-06,36,Middle-Aged (36-50),male,2,Skilled,own,Unknown,Unknown,6304,Large (5K-10K),36,Long (2-3yr),business,175.11,175.11,good,1,High Exposure,1,1,0
268,2026-01-06,38,Middle-Aged (36-50),female,2,Skilled,own,little,Unknown,1533,Small (<2K),24,Medium (1-2yr),radio/TV,63.88,40.34,good,1,Medium Exposure,0,0,0
269,2026-01-06,45,Middle-Aged (36-50),male,3,Highly Skilled,own,little,little,8978,Large (5K-10K),14,Medium (1-2yr),car,641.29,199.51,bad,0,Medium Exposure,1,0,0
270,2026-01-06,25,Young (18-25),male,2,Skilled,own,Unknown,Unknown,999,Small (<2K),24,Medium (1-2yr),radio/TV,41.62,39.96,good,1,Medium Exposure,0,0,1
271,2026-01-06,32,Adult (26-35),male,2,Skilled,own,Unknown,Unknown,2662,Medium (2K-5K),18,Medium (1-2yr),car,147.89,83.19,good,1,Medium Exposure,1,0,0
272,2026-01-06,37,Middle-Aged (36-50),female,2,Skilled,rent,quite rich,Unknown,1402,Small (<2K),12,Short (<1yr),furniture/equipment,116.83,37.89,good,1,Medium Exposure,0,0,0
273,2026-01-06,36,Middle-Aged (36-50),male,3,Highly Skilled,free,Unknown,moderate,12169,Very Large (10K+),48,Very Long (3yr+),car,253.52,338.03,good,1,High Exposure,1,1,0
274,2026-01-06,28,Adult (26-35),male,2,Skilled,own,little,moderate,3060,Medium (2K-5K),48,Very Long (3yr+),radio/TV,63.75,109.29,bad,0,Medium Exposure,1,1,1
275,2026-01-06,34,Adult (26-35),male,1,Semi-Skilled,own,little,little,11998,Very Large (10K+),30,Long (2-3yr),repairs,399.93,352.88,bad,0,High Exposure,1,1,0
276,2026-01-06,32,Adult (26-35),male,2,Skilled,own,little,Unknown,2697,Medium (2K-5K),9,Short (<1yr),radio/TV,299.67,84.28,good,1,Medium Exposure,1,0,0
277,2026-01-06,26,Adult (26-35),female,2,Skilled,own,little,Unknown,2404,Medium (2K-5K),18,Medium (1-2yr),radio/TV,133.56,92.46,good,1,Medium Exposure,1,0,1
278,2026-01-06,49,Middle-Aged (36-50),male,1,Semi-Skilled,own,Unknown,little,1262,Small (<2K),12,Short (<1yr),furniture/equipment,105.17,25.76,good,1,Medium Exposure,0,0,0
279,2026-01-06,32,Adult (26-35),female,2,Skilled,own,little,Unknown,4611,Medium (2K-5K),6,Short (<1yr),furniture/equipment,768.5,144.09,bad,0,Medium Exposure,1,0,0
280,2026-01-06,29,Adult (26-35),male,3,Highly Skilled,rent,moderate,Unknown,1901,Small (<2K),24,Medium (1-2yr),radio/TV,79.21,65.55,good,1,Medium Exposure,0,0,1
281,2026-01-06,23,Young (18-25),male,2,Skilled,rent,rich,Unknown,3368,Medium (2K-5K),15,Medium (1-2yr),car,224.53,146.43,good,1,Medium Exposure,1,0,1
282,2026-01-06,50,Middle-Aged (36-50),male,2,Skilled,own,little,Unknown,1574,Small (<2K),12,Short (<1yr),furniture/equipment,131.17,31.48,good,1,Medium Exposure,0,0,0
283,2026-01-06,49,Middle-Aged (36-50),male,1,Semi-Skilled,own,Unknown,rich,1445,Small (<2K),18,Medium (1-2yr),radio/TV,80.28,29.49,good,1,Medium Exposure,0,0,0
284,2026-01-06,63,Senior (51+),male,2,Skilled,own,Unknown,Unknown,1520,Small (<2K),15,Medium (1-2yr),furniture/equipment,101.33,24.13,good,1,Medium Exposure,0,0,0
285,2026-01-06,37,Middle-Aged (36-50),male,2,Skilled,own,moderate,moderate,3878,Medium (2K-5K),24,Medium (1-2yr),car,161.58,104.81,good,1,Medium Exposure,1,0,0
286,2026-01-06,35,Adult (26-35),female,1,Semi-Skilled,own,little,little,10722,Very Large (10K+),47,Very Long (3yr+),car,228.13,306.34,good,1,High Exposure,1,1,0
287,2026-01-06,26,Adult (26-35),male,2,Skilled,own,little,little,4788,Medium (2K-5K),48,Very Long (3yr+),car,99.75,184.15,good,1,Medium Exposure,1,1,1
288,2026-01-06,31,Adult (26-35),male,3,Highly Skilled,free,moderate,moderate,7582,Large (5K-10K),48,Very Long (3yr+),vacation/others,157.96,244.58,good,1,High Exposure,1,1,0
289,2026-01-06,49,Middle-Aged (36-50),female,2,Skilled,own,little,moderate,1092,Small (<2K),12,Short (<1yr),radio/TV,91.0,22.29,good,1,Medium Exposure,0,0,0
290,2026-01-06,48,Middle-Aged (36-50),male,2,Skilled,own,little,little,1024,Small (<2K),24,Medium (1-2yr),radio/TV,42.67,21.33,bad,0,Medium Exposure,0,0,0
291,2026-01-06,26,Adult (26-35),male,2,Skilled,own,little,Unknown,1076,Small (<2K),12,Short (<1yr),business,89.67,41.38,good,1,Medium Exposure,0,0,1
292,2026-01-06,28,Adult (26-35),male,3,Highly Skilled,rent,little,moderate,9398,Large (5K-10K),36,Long (2-3yr),car,261.06,335.64,bad,0,High Exposure,1,1,1
293,2026-01-06,44,Middle-Aged (36-50),female,3,Highly Skilled,free,little,little,6419,Large (5K-10K),24,Medium (1-2yr),car,267.46,145.89,good,1,Medium Exposure,1,0,0
294,2026-01-06,56,Senior (51+),male,2,Skilled,free,little,rich,4796,Medium (2K-5K),42,Very Long (3yr+),car,114.19,85.64,good,1,Medium Exposure,1,1,0
295,2026-01-06,46,Middle-Aged (36-50),male,3,Highly Skilled,own,Unknown,Unknown,7629,Large (5K-10K),48,Very Long (3yr+),business,158.94,165.85,good,1,High Exposure,1,1,0
296,2026-01-06,26,Adult (26-35),female,2,Skilled,own,little,moderate,9960,Large (5K-10K),48,Very Long (3yr+),furniture/equipment,207.5,383.08,bad,0,High Exposure,1,1,1
297,2026-01-06,20,Young (18-25),female,2,Skilled,rent,Unknown,Unknown,4675,Medium (2K-5K),12,Short (<1yr),car,389.58,233.75,good,1,Medium Exposure,1,0,1
298,2026-01-06,45,Middle-Aged (36-50),male,1,Semi-Skilled,own,Unknown,Unknown,1287,Small (<2K),10,Short (<1yr),car,128.7,28.6,good,1,Low Exposure,0,0,0
299,2026-01-06,43,Middle-Aged (36-50),male,2,Skilled,own,little,Unknown,2515,Medium (2K-5K),18,Medium (1-2yr),furniture/equipment,139.72,58.49,good,1,Medium Exposure,1,0,0
